Date,AAPL,NVDA,TSLA
2020-01-02,72.71607971191406,5.972711086273193,28.68400001525879
2020-01-03,72.00910949707031,5.877111911773682,29.534000396728516
2020-01-06,72.58290100097656,5.901758193969727,30.1026668548584
2020-01-07,72.2415542602539,5.973208427429199,31.270666122436523
2020-01-08,73.40365600585938,5.984411716461182,32.80933380126953
2020-01-09,74.96279907226562,6.050136566162109,32.089332580566406
2020-01-10,75.13226318359375,6.0824995040893555,31.876667022705078
2020-01-13,76.73741149902344,6.273199081420898,34.990665435791016
2020-01-14,75.70121002197266,6.156191825866699,35.861331939697266
2020-01-15,75.37680053710938,6.113618850708008,34.56666564941406
2020-01-16,76.32100677490234,6.197268962860107,34.232666015625
2020-01-17,77.16595458984375,6.205982208251953,34.03333282470703
2020-01-21,76.64299774169922,6.1726226806640625,36.47999954223633
2020-01-22,76.91658020019531,6.2266459465026855,37.97066879272461
2020-01-23,77.28699493408203,6.295108795166016,38.14666748046875
2020-01-24,77.06425476074219,6.235857009887695,37.654666900634766
2020-01-27,74.79817199707031,5.979930877685547,37.201332092285156
2020-01-28,76.9141616821289,6.173369884490967,37.793331146240234
2020-01-29,78.52415466308594,6.112873554229736,38.732666015625
2020-01-30,78.41035461425781,6.119594573974609,42.72066879272461
2020-01-31,74.93373107910156,5.886073589324951,43.371334075927734
2020-02-03,74.72795867919922,5.983166694641113,52.0
2020-02-04,77.19500732421875,6.152455806732178,59.137332916259766
2020-02-05,77.82447814941406,6.242828369140625,48.97999954223633
2020-02-06,78.73479461669922,6.329714298248291,49.930667877197266
2020-02-07,77.66456604003906,6.263492584228516,49.871334075927734
2020-02-10,78.033447265625,6.546803951263428,51.41866683959961
2020-02-11,77.5626449584961,6.669290542602539,51.62533187866211
2020-02-12,79.40458679199219,6.785054683685303,51.15266799926758
2020-02-13,78.8391342163086,6.741238594055176,53.599998474121094
2020-02-14,78.85855865478516,7.214504241943359,53.33533477783203
2020-02-18,77.41460418701172,7.383296489715576,57.22666549682617
2020-02-19,78.5357894897461,7.83465576171875,61.16133117675781
2020-02-20,77.7301025390625,7.685280799865723,59.96066665649414
2020-02-21,75.9706802368164,7.32105827331543,60.06666564941406
2020-02-24,72.36202239990234,6.803478240966797,55.58599853515625
2020-02-25,69.91098022460938,6.523900032043457,53.32733154296875
2020-02-26,71.02001190185547,6.66331672668457,51.91999816894531
2020-02-27,66.3775405883789,6.2923970222473145,45.266666412353516
2020-02-28,66.33873748779297,6.727585315704346,44.53266525268555
2020-03-02,72.51493835449219,6.886015892028809,49.574668884277344
2020-03-03,70.2118911743164,6.623459815979004,49.70066833496094
2020-03-04,73.46865844726562,7.087292671203613,49.96666717529297
2020-03-05,71.08554077148438,6.807796478271484,48.30266571044922
2020-03-06,70.14151763916016,6.627193927764893,46.89866638183594
2020-03-09,64.5938720703125,6.11403751373291,40.53333282470703
2020-03-10,69.24602508544922,6.503638744354248,43.02199935913086
2020-03-11,66.84107971191406,6.13969612121582,42.28200149536133
2020-03-12,60.240211486816406,5.388395309448242,37.369998931884766
2020-03-13,67.45748901367188,5.999449253082275,36.44133377075195
2020-03-16,58.77928161621094,4.892426490783691,29.67133331298828
2020-03-17,61.36381912231445,5.412308692932129,28.68000030517578
2020-03-18,59.86163330078125,5.0523529052734375,24.08133316040039
2020-03-19,59.4029655456543,5.305192947387695,28.50933265686035
2020-03-20,55.631744384765625,5.125339984893799,28.50200080871582
2020-03-23,54.44989776611328,5.298218727111816,28.952667236328125
2020-03-24,59.91259765625,6.207204341888428,33.66666793823242
2020-03-25,59.582557678222656,6.118521690368652,35.95000076293945
2020-03-26,62.71797180175781,6.40798282623291,35.21066665649414
2020-03-27,60.12130355834961,6.2956366539001465,34.29066848754883
2020-03-30,61.83705139160156,6.6159844398498535,33.47533416748047
2020-03-31,61.71084213256836,6.5664143562316895,34.93333435058594
2020-04-01,58.46379852294922,6.055000305175781,32.104000091552734
2020-04-02,59.43936538696289,6.363892555236816,30.29800033569336
2020-04-03,58.58513641357422,6.075925350189209,32.000667572021484
2020-04-06,63.69597244262695,6.685984134674072,34.41600036621094
2020-04-07,62.958213806152344,6.452572345733643,36.36333465576172
2020-04-08,64.56959533691406,6.6498637199401855,36.589332580566406
2020-04-09,65.03556060791016,6.5502214431762695,38.20000076293945
2020-04-13,66.3120346069336,6.722104072570801,43.39666748046875
2020-04-14,69.66101837158203,7.073342800140381,47.32600021362305
2020-04-15,69.02519989013672,6.995870113372803,48.65533447265625
2020-04-16,69.57364654541016,7.341130256652832,49.680667877197266
2020-04-17,68.62963104248047,7.281843185424805,50.259334564208984
2020-04-20,67.2051010131836,7.150564670562744,49.75733184814453
2020-04-21,65.1277847290039,6.713634490966797,45.781333923339844
2020-04-22,67.00366973876953,7.128146171569824,48.807334899902344
2020-04-23,66.74401092529297,7.074836730957031,47.04199981689453
2020-04-24,68.6708984375,7.213838577270508,48.34333419799805
2020-04-27,68.71942138671875,7.400417804718018,53.25
2020-04-28,67.60552978515625,7.257928848266602,51.27466583251953
2020-04-29,69.82604217529297,7.434794902801514,53.367332458496094
2020-04-30,71.2990951538086,7.280848026275635,52.12533187866211
2020-05-01,70.15121459960938,7.044197082519531,46.75466537475586
2020-05-04,71.14378356933594,7.2561845779418945,50.74599838256836
2020-05-05,72.21157836914062,7.3172173500061035,51.2140007019043
2020-05-06,72.95661163330078,7.41810417175293,52.172000885009766
2020-05-07,73.7113265991211,7.594470024108887,52.00266647338867
2020-05-08,75.46578979492188,7.7845377922058105,54.62799835205078
