Date,AAPL,TSLA
2020-01-02,72.71605682373047,28.68400001525879
2020-01-03,72.00912475585938,29.534000396728516
2020-01-06,72.58292388916016,30.1026668548584
2020-01-07,72.24153137207031,31.270666122436523
2020-01-08,73.40364837646484,32.80933380126953
2020-01-09,74.96280670166016,32.089332580566406
2020-01-10,75.13227081298828,31.876667022705078
2020-01-13,76.73741149902344,34.990665435791016
2020-01-14,75.70121765136719,35.861331939697266
2020-01-15,75.37678527832031,34.56666564941406
2020-01-16,76.32100677490234,34.232666015625
2020-01-17,77.16596221923828,34.03333282470703
2020-01-21,76.64301300048828,36.47999954223633
2020-01-22,76.91657257080078,37.97066879272461
2020-01-23,77.28700256347656,38.14666748046875
2020-01-24,77.06426239013672,37.654666900634766
2020-01-27,74.79816436767578,37.201332092285156
2020-01-28,76.9141616821289,37.793331146240234
2020-01-29,78.52415466308594,38.732666015625
2020-01-30,78.4103775024414,42.72066879272461
2020-01-31,74.93374633789062,43.371334075927734
2020-02-03,74.72798156738281,52.0
2020-02-04,77.19499969482422,59.137332916259766
2020-02-05,77.8244857788086,48.97999954223633
2020-02-06,78.73477935791016,49.930667877197266
2020-02-07,77.6645736694336,49.871334075927734
2020-02-10,78.03343963623047,51.41866683959961
2020-02-11,77.56262969970703,51.62533187866211
2020-02-12,79.40457153320312,51.15266799926758
2020-02-13,78.83911895751953,53.599998474121094
2020-02-14,78.85855102539062,53.33533477783203
2020-02-18,77.41460418701172,57.22666549682617
2020-02-19,78.5357894897461,61.16133117675781
2020-02-20,77.73008728027344,59.96066665649414
2020-02-21,75.97066497802734,60.06666564941406
2020-02-24,72.36201477050781,55.58599853515625
2020-02-25,69.91097259521484,53.32733154296875
2020-02-26,71.02002716064453,51.91999816894531
2020-02-27,66.37757110595703,45.266666412353516
2020-02-28,66.33873748779297,44.53266525268555
2020-03-02,72.51490783691406,49.574668884277344
2020-03-03,70.2119140625,49.70066833496094
2020-03-04,73.46863555908203,49.96666717529297
2020-03-05,71.08554077148438,48.30266571044922
2020-03-06,70.14152526855469,46.89866638183594
2020-03-09,64.5938949584961,40.53333282470703
2020-03-10,69.24602508544922,43.02199935913086
2020-03-11,66.841064453125,42.28200149536133
2020-03-12,60.240211486816406,37.369998931884766
2020-03-13,67.45748901367188,36.44133377075195
2020-03-16,58.7792854309082,29.67133331298828
2020-03-17,61.36382293701172,28.68000030517578
2020-03-18,59.86163330078125,24.08133316040039
2020-03-19,59.402976989746094,28.50933265686035
2020-03-20,55.631736755371094,28.50200080871582
2020-03-23,54.44989013671875,28.952667236328125
2020-03-24,59.912593841552734,33.66666793823242
2020-03-25,59.582557678222656,35.95000076293945
2020-03-26,62.71797180175781,35.21066665649414
2020-03-27,60.12129592895508,34.29066848754883
2020-03-30,61.8370475769043,33.47533416748047
2020-03-31,61.710845947265625,34.93333435058594
2020-04-01,58.46379470825195,32.104000091552734
2020-04-02,59.43937301635742,30.29800033569336
2020-04-03,58.58513641357422,32.000667572021484
2020-04-06,63.69596481323242,34.41600036621094
2020-04-07,62.958221435546875,36.36333465576172
2020-04-08,64.5696029663086,36.589332580566406
2020-04-09,65.03553771972656,38.20000076293945
2020-04-13,66.3120346069336,43.39666748046875
2020-04-14,69.66100311279297,47.32600021362305
2020-04-15,69.02519226074219,48.65533447265625
2020-04-16,69.57366180419922,49.680667877197266
2020-04-17,68.629638671875,50.259334564208984
2020-04-20,67.20508575439453,49.75733184814453
2020-04-21,65.12777709960938,45.781333923339844
2020-04-22,67.00366973876953,48.807334899902344
2020-04-23,66.74401092529297,47.04199981689453
2020-04-24,68.6708755493164,48.34333419799805
2020-04-27,68.71942901611328,53.25
2020-04-28,67.60550689697266,51.27466583251953
2020-04-29,69.82603454589844,53.367332458496094
2020-04-30,71.29907989501953,52.12533187866211
2020-05-01,70.15122985839844,46.75466537475586
2020-05-04,71.14378356933594,50.74599838256836
2020-05-05,72.2115707397461,51.2140007019043
2020-05-06,72.95658111572266,52.172000885009766
2020-05-07,73.71131896972656,52.00266647338867
2020-05-08,75.46578216552734,54.62799835205078
2020-05-11,76.65325927734375,54.08599853515625
2020-05-12,75.7772445678711,53.96066665649414
2020-05-13,74.8623046875,52.73066711425781
2020-05-14,75.32221221923828,53.55533218383789
2020-05-15,74.87690734863281,53.27799987792969
2020-05-18,76.64108276367188,54.242000579833984
2020-05-19,76.19823455810547,53.867332458496094
2020-05-20,77.68013763427734,54.37066650390625
2020-05-21,77.10100555419922,55.17333221435547
2020-05-22,77.59739685058594,54.45866775512695
2020-05-26,77.07180786132812,54.591331481933594
2020-05-27,77.40758514404297,54.68199920654297
2020-05-28,77.44166564941406,53.72066879272461
2020-05-29,77.3662338256836,55.66666793823242
2020-06-01,78.31765747070312,59.87333297729492
2020-06-02,78.68025970458984,58.770668029785156
2020-06-03,79.11338806152344,58.86399841308594
2020-06-04,78.43205261230469,57.62533187866211
2020-06-05,80.66586303710938,59.04399871826172
2020-06-08,81.1427993774414,63.327999114990234
2020-06-09,83.70512390136719,62.711334228515625
2020-06-10,85.85865020751953,68.336669921875
2020-06-11,81.73654174804688,64.85600280761719
2020-06-12,82.44222259521484,62.35200119018555
2020-06-15,83.46180725097656,66.05999755859375
2020-06-16,85.67371368408203,65.47533416748047
2020-06-17,85.55448150634766,66.11933135986328
2020-06-18,85.58856964111328,66.9306640625
2020-06-19,85.09944915771484,66.72666931152344
2020-06-22,87.32598876953125,66.28800201416016
2020-06-23,89.18994140625,66.78533172607422
2020-06-24,87.61554718017578,64.0566635131836
